K,Cluster,Centroid
14,14,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
15,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
15,2,"[ 1.957238,-0.574305, 0.014718, 0.395656,-0.427036,-0.683738,-0.682532]"
15,3,"[ 1.771272, 0.430093, 0.208544,-0.57862 ,-0.818423,-0.570526,-0.442341]"
15,4,"[ 1.18624 , 1.064252, 0.339788,-1.459169,-0.439543, 0.280012,-0.97158 ]"
15,5,"[ 1.304296,-1.656649,-0.429786, 0.326789,-0.407033, 0.449461, 0.412922]"
15,6,"[ 1.76604 ,-0.560785, 0.124354,-0.593465,-0.951423, 0.722954,-0.507674]"
15,7,"[ 1.650994,-0.745605,-0.403527,-0.789679,-0.759935, 0.109286, 0.938467]"
15,8,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
15,9,"[-1.142201,-1.004793,-0.774739, 0.157555, 0.987824, 0.801299, 0.975056]"
15,10,"[-2.028   , 0.698047, 0.696957, 0.291847, 0.487349,-0.119102,-0.027097]"
15,11,"[-1.833259,-0.350784, 0.126624, 0.711238, 0.984797, 0.33449 , 0.026894]"
15,12,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
15,13,"[-1.124842, 1.23336 , 1.362342,-0.295648,-0.306408,-0.653676,-0.215128]"
15,14,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
15,15,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
16,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
16,2,"[ 1.957238,-0.574305, 0.014718, 0.395656,-0.427036,-0.683738,-0.682532]"
16,3,"[ 1.827745, 0.559855,-0.880108,-0.939461,-0.458936,-0.126236, 0.017142]"
16,4,"[ 1.768203, 0.423041, 0.26771 ,-0.559009,-0.837961,-0.594672,-0.467313]"
16,5,"[ 1.18624 , 1.064252, 0.339788,-1.459169,-0.439543, 0.280012,-0.97158 ]"
16,6,"[ 1.304296,-1.656649,-0.429786, 0.326789,-0.407033, 0.449461, 0.412922]"
16,7,"[ 1.76604 ,-0.560785, 0.124354,-0.593465,-0.951423, 0.722954,-0.507674]"
16,8,"[ 1.650994,-0.745605,-0.403527,-0.789679,-0.759935, 0.109286, 0.938467]"
16,9,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
16,10,"[-1.142201,-1.004793,-0.774739, 0.157555, 0.987824, 0.801299, 0.975056]"
16,11,"[-2.028   , 0.698047, 0.696957, 0.291847, 0.487349,-0.119102,-0.027097]"
16,12,"[-1.833259,-0.350784, 0.126624, 0.711238, 0.984797, 0.33449 , 0.026894]"
16,13,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
16,14,"[-1.124842, 1.23336 , 1.362342,-0.295648,-0.306408,-0.653676,-0.215128]"
16,15,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
16,16,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
17,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
17,2,"[ 1.957238,-0.574305, 0.014718, 0.395656,-0.427036,-0.683738,-0.682532]"
17,3,"[ 1.827745, 0.559855,-0.880108,-0.939461,-0.458936,-0.126236, 0.017142]"
17,4,"[ 1.768203, 0.423041, 0.26771 ,-0.559009,-0.837961,-0.594672,-0.467313]"
17,5,"[ 1.18624 , 1.064252, 0.339788,-1.459169,-0.439543, 0.280012,-0.97158 ]"
17,6,"[ 0.373347,-1.836226,-0.795586, 0.02915 , 0.525202, 0.784363, 0.91975 ]"
17,7,"[ 1.359057,-1.646086,-0.408268, 0.344297,-0.461871, 0.429761, 0.383109]"
17,8,"[ 1.76604 ,-0.560785, 0.124354,-0.593465,-0.951423, 0.722954,-0.507674]"
17,9,"[ 1.650994,-0.745605,-0.403527,-0.789679,-0.759935, 0.109286, 0.938467]"
17,10,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
17,11,"[-1.142201,-1.004793,-0.774739, 0.157555, 0.987824, 0.801299, 0.975056]"
17,12,"[-2.028   , 0.698047, 0.696957, 0.291847, 0.487349,-0.119102,-0.027097]"
17,13,"[-1.833259,-0.350784, 0.126624, 0.711238, 0.984797, 0.33449 , 0.026894]"
17,14,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
17,15,"[-1.124842, 1.23336 , 1.362342,-0.295648,-0.306408,-0.653676,-0.215128]"
17,16,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
17,17,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
18,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
18,2,"[ 1.957238,-0.574305, 0.014718, 0.395656,-0.427036,-0.683738,-0.682532]"
18,3,"[ 1.827745, 0.559855,-0.880108,-0.939461,-0.458936,-0.126236, 0.017142]"
18,4,"[ 1.768203, 0.423041, 0.26771 ,-0.559009,-0.837961,-0.594672,-0.467313]"
18,5,"[ 1.18624 , 1.064252, 0.339788,-1.459169,-0.439543, 0.280012,-0.97158 ]"
18,6,"[ 0.373347,-1.836226,-0.795586, 0.02915 , 0.525202, 0.784363, 0.91975 ]"
18,7,"[ 1.359057,-1.646086,-0.408268, 0.344297,-0.461871, 0.429761, 0.383109]"
18,8,"[ 1.76604 ,-0.560785, 0.124354,-0.593465,-0.951423, 0.722954,-0.507674]"
18,9,"[ 1.650994,-0.745605,-0.403527,-0.789679,-0.759935, 0.109286, 0.938467]"
18,10,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
18,11,"[-1.142201,-1.004793,-0.774739, 0.157555, 0.987824, 0.801299, 0.975056]"
18,12,"[-2.028   , 0.698047, 0.696957, 0.291847, 0.487349,-0.119102,-0.027097]"
18,13,"[-1.395957,-0.413223,-0.410568, 0.152421, 1.242462, 1.257754,-0.432889]"
18,14,"[-1.853599,-0.34788 , 0.15161 , 0.73723 , 0.972813, 0.291547, 0.048279]"
18,15,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
18,16,"[-1.124842, 1.23336 , 1.362342,-0.295648,-0.306408,-0.653676,-0.215128]"
18,17,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
18,18,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
19,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
19,2,"[ 1.957238,-0.574305, 0.014718, 0.395656,-0.427036,-0.683738,-0.682532]"
19,3,"[ 1.827745, 0.559855,-0.880108,-0.939461,-0.458936,-0.126236, 0.017142]"
19,4,"[ 1.768203, 0.423041, 0.26771 ,-0.559009,-0.837961,-0.594672,-0.467313]"
19,5,"[ 1.18624 , 1.064252, 0.339788,-1.459169,-0.439543, 0.280012,-0.97158 ]"
19,6,"[ 0.373347,-1.836226,-0.795586, 0.02915 , 0.525202, 0.784363, 0.91975 ]"
19,7,"[ 1.359057,-1.646086,-0.408268, 0.344297,-0.461871, 0.429761, 0.383109]"
19,8,"[ 1.76604 ,-0.560785, 0.124354,-0.593465,-0.951423, 0.722954,-0.507674]"
19,9,"[ 1.650994,-0.745605,-0.403527,-0.789679,-0.759935, 0.109286, 0.938467]"
19,10,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
19,11,"[-1.142201,-1.004793,-0.774739, 0.157555, 0.987824, 0.801299, 0.975056]"
19,12,"[-2.028   , 0.698047, 0.696957, 0.291847, 0.487349,-0.119102,-0.027097]"
19,13,"[-1.395957,-0.413223,-0.410568, 0.152421, 1.242462, 1.257754,-0.432889]"
19,14,"[-1.676944,-0.54608 , 0.264813, 0.103038, 1.337708,-0.319769, 0.837237]"
19,15,"[-1.862216,-0.338212, 0.146088, 0.768166, 0.955013, 0.321368, 0.009794]"
19,16,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
19,17,"[-1.124842, 1.23336 , 1.362342,-0.295648,-0.306408,-0.653676,-0.215128]"
19,18,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
19,19,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
20,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
20,2,"[ 1.957238,-0.574305, 0.014718, 0.395656,-0.427036,-0.683738,-0.682532]"
20,3,"[ 1.827745, 0.559855,-0.880108,-0.939461,-0.458936,-0.126236, 0.017142]"
20,4,"[ 1.605023, 0.861254, 0.291628,-0.504404,-0.814155,-0.676002,-0.763345]"
20,5,"[ 1.946219,-0.055009, 0.241617,-0.618578,-0.863931,-0.50595 ,-0.144368]"
20,6,"[ 1.18624 , 1.064252, 0.339788,-1.459169,-0.439543, 0.280012,-0.97158 ]"
