K,Cluster,Centroid
17,3,"[0.127714,0.398604,0.547986,0.602959,0.935057,0.311356,0.645541]"
17,4,"[0.098487,0.427572,0.483517,0.82694 ,0.813908,0.596787,0.405695]"
17,5,"[0.250465,0.277404,0.198256,0.620843,0.811384,0.727811,0.683666]"
17,6,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
17,7,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
17,8,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
17,9,"[0.906304,0.460323,0.502919,0.685954,0.316996,0.153509,0.195414]"
17,10,"[0.915721,0.702376,0.205428,0.290502,0.317594,0.322936,0.371005]"
17,11,"[0.894952,0.648592,0.555893,0.379393,0.176264,0.208168,0.288992]"
17,12,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
17,13,"[0.805117,0.114579,0.31293 ,0.683436,0.303078,0.59305 ,0.526642]"
17,14,"[0.770119,0.020593,0.655647,0.693108,0.452262,0.47532 ,0.349761]"
17,15,"[0.892508,0.42783 ,0.502855,0.341563,0.116207,0.674704,0.301238]"
17,16,"[0.867944,0.348233,0.325955,0.305509,0.199459,0.468949,0.675097]"
17,17,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
18,1,"[0.048538,0.680219,0.659499,0.695293,0.681058,0.381204,0.428547]"
18,2,"[0.276115,0.125585,0.697529,0.746625,0.802981,0.522214,0.458398]"
18,3,"[0.127714,0.398604,0.547986,0.602959,0.935057,0.311356,0.645541]"
18,4,"[0.190314,0.433242,0.322241,0.61949 ,0.901841,0.896945,0.298451]"
18,5,"[0.09324 ,0.427248,0.492733,0.838795,0.808883,0.579635,0.411824]"
18,6,"[0.250465,0.277404,0.198256,0.620843,0.811384,0.727811,0.683666]"
18,7,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
18,8,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
18,9,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
18,10,"[0.906304,0.460323,0.502919,0.685954,0.316996,0.153509,0.195414]"
18,11,"[0.915721,0.702376,0.205428,0.290502,0.317594,0.322936,0.371005]"
18,12,"[0.894952,0.648592,0.555893,0.379393,0.176264,0.208168,0.288992]"
18,13,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
18,14,"[0.805117,0.114579,0.31293 ,0.683436,0.303078,0.59305 ,0.526642]"
18,15,"[0.770119,0.020593,0.655647,0.693108,0.452262,0.47532 ,0.349761]"
18,16,"[0.892508,0.42783 ,0.502855,0.341563,0.116207,0.674704,0.301238]"
18,17,"[0.867944,0.348233,0.325955,0.305509,0.199459,0.468949,0.675097]"
18,18,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
19,1,"[0.048538,0.680219,0.659499,0.695293,0.681058,0.381204,0.428547]"
19,2,"[0.276115,0.125585,0.697529,0.746625,0.802981,0.522214,0.458398]"
19,3,"[0.127714,0.398604,0.547986,0.602959,0.935057,0.311356,0.645541]"
19,4,"[0.190314,0.433242,0.322241,0.61949 ,0.901841,0.896945,0.298451]"
19,5,"[0.09324 ,0.427248,0.492733,0.838795,0.808883,0.579635,0.411824]"
19,6,"[0.584487,0.062242,0.19355 ,0.578225,0.651701,0.721219,0.668089]"
19,7,"[0.247141,0.279545,0.198303,0.621267,0.812973,0.727876,0.683821]"
19,8,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
19,9,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
19,10,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
19,11,"[0.906304,0.460323,0.502919,0.685954,0.316996,0.153509,0.195414]"
19,12,"[0.915721,0.702376,0.205428,0.290502,0.317594,0.322936,0.371005]"
19,13,"[0.894952,0.648592,0.555893,0.379393,0.176264,0.208168,0.288992]"
19,14,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
19,15,"[0.805117,0.114579,0.31293 ,0.683436,0.303078,0.59305 ,0.526642]"
19,16,"[0.770119,0.020593,0.655647,0.693108,0.452262,0.47532 ,0.349761]"
19,17,"[0.892508,0.42783 ,0.502855,0.341563,0.116207,0.674704,0.301238]"
19,18,"[0.867944,0.348233,0.325955,0.305509,0.199459,0.468949,0.675097]"
19,19,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
20,1,"[0.048538,0.680219,0.659499,0.695293,0.681058,0.381204,0.428547]"
20,2,"[0.276115,0.125585,0.697529,0.746625,0.802981,0.522214,0.458398]"
20,3,"[0.127714,0.398604,0.547986,0.602959,0.935057,0.311356,0.645541]"
20,4,"[0.190314,0.433242,0.322241,0.61949 ,0.901841,0.896945,0.298451]"
20,5,"[0.09324 ,0.427248,0.492733,0.838795,0.808883,0.579635,0.411824]"
20,6,"[0.584487,0.062242,0.19355 ,0.578225,0.651701,0.721219,0.668089]"
20,7,"[0.247141,0.279545,0.198303,0.621267,0.812973,0.727876,0.683821]"
